glass_type,recommended_climate,u_value,shgc,vlt,acoustic_rw,thickness_mm,fire_rating,durability_years,cost_per_sqm,maintenance_freq_per_year,solar_control_coating,impact_resistance,environmental_suitability
DGU Clear,dry,0.99,0.43,46.5,34,22,A1,15,243,1,No,Low,Medium
DGU Low-E,dry,1.43,0.34,58.7,28,24,C,34,316,3,Yes,Low,Medium
DGU Low-E,coastal,1.09,0.34,58.8,29,24,C,22,314,3,Yes,Low,High
Tinted Glass,cold,3.27,0.38,30.9,25,6,A2,29,109,2,No,Low,Medium
Clear Float Glass,coastal,4.05,0.58,86.8,30,5,B,26,123,2,Yes,Low,High
DGU Clear,cold,1.43,0.28,44.4,32,20,A1,23,281,2,Yes,Low,Medium
Laminated Low-E,moderate,1.2,0.31,41.0,39,10,C,34,162,2,Yes,High,Medium
Laminated Low-E,moderate,1.46,0.31,66.3,40,12,A2,20,297,2,Yes,High,Medium
Solar Control Glass,coastal,3.36,0.66,63.3,25,8,A1,27,119,3,No,Low,High
Clear Float Glass,moderate,4.62,0.48,71.9,25,5,A1,24,154,2,No,Low,Medium
Triple Glazed Low-E,coastal,1.64,0.22,46.9,25,36,A1,28,287,1,Yes,Low,High
Spectrally Selective Glass,cold,4.31,0.63,79.2,30,10,A1,27,126,1,No,Low,Medium
Triple Glazed Low-E,dry,1.56,0.28,47.6,33,32,B,17,242,2,Yes,Low,Medium
Solar Control Glass,coastal,3.36,0.5,87.3,27,10,A1,27,115,2,Yes,Low,High
Frosted Glass,cold,3.96,0.55,73.9,28,8,C,31,176,1,Yes,Low,Medium
DGU Low-E,hot,1.76,0.22,57.6,30,22,C,31,332,2,Yes,Low,High
DGU Clear,dry,1.2,0.37,35.5,27,22,C,34,283,3,No,Low,Medium
Heat Strengthened Glass,cold,4.68,0.68,77.0,34,10,B,30,123,1,No,Medium,Medium
Reflective Glass,cold,4.04,0.29,20.6,31,8,B,35,148,1,Yes,Low,Medium
Triple Glazed Low-E,coastal,1.12,0.29,58.2,34,36,A2,16,317,3,Yes,Low,High
Clear Float Glass,moderate,3.56,0.63,88.0,27,8,A2,16,160,3,No,Low,Medium
Laminated Clear,hot,2.71,0.41,62.3,40,10,C,19,182,2,No,High,High
Laminated Clear,moderate,2.78,0.51,62.5,35,12,A2,31,244,1,No,High,Medium
Solar Control Glass,cold,4.8,0.67,75.6,30,10,A2,29,141,3,No,Low,Medium
Reflective Glass,dry,3.89,0.23,10.8,34,6,C,21,187,1,Yes,Low,Medium
Tempered Low-E,dry,1.27,0.32,40.1,29,8,B,21,207,3,Yes,Medium,Medium
Laminated Clear,coastal,2.0,0.4,70.7,43,12,B,24,241,1,No,High,High
Triple Glazed Low-E,dry,1.74,0.25,50.4,30,36,A2,24,251,1,Yes,Low,Medium
Tempered Low-E,hot,1.59,0.27,46.7,35,8,B,30,263,1,Yes,Medium,High
Laminated Low-E,dry,1.36,0.22,45.3,39,12,A2,18,293,3,Yes,High,Medium
Laminated Clear,dry,2.2,0.4,78.3,45,10,A2,35,211,1,Yes,High,Medium
DGU Low-E,hot,1.29,0.29,59.0,32,26,A1,19,234,1,Yes,Low,High
Solar Control Glass,moderate,2.53,0.62,65.3,32,8,A2,24,163,2,No,Low,Medium
Tempered Low-E,hot,1.77,0.22,52.4,34,6,A2,32,316,3,Yes,Medium,High
Laminated Clear,hot,1.7,0.55,70.0,35,10,C,30,233,1,Yes,High,High
Spectrally Selective Glass,cold,3.99,0.47,82.5,34,6,A1,25,81,2,No,Low,Medium
Clear Float Glass,dry,3.02,0.67,66.2,33,8,C,23,143,1,Yes,Low,Medium
Frosted Glass,hot,2.98,0.46,74.2,35,8,B,20,100,1,No,Low,High
Laminated Clear,cold,2.28,0.32,75.5,37,12,C,28,252,3,Yes,High,Medium
Reflective Glass,hot,3.68,0.24,16.6,27,6,A2,30,144,2,Yes,Low,High
Spectrally Selective Glass,moderate,3.5,0.59,64.7,28,6,C,23,113,2,No,Low,Medium
Tempered Low-E,dry,1.15,0.33,68.4,25,10,B,35,296,2,Yes,Medium,Medium
Laminated Clear,moderate,2.05,0.37,72.9,42,10,B,20,265,2,Yes,High,Medium
Acoustic Laminated,dry,2.09,0.31,63.1,36,14,B,26,278,3,No,High,Medium
Laminated Low-E,moderate,1.57,0.3,40.8,37,10,C,34,272,2,Yes,High,Medium
Tinted Glass,dry,3.11,0.4,28.4,33,6,A2,22,196,3,No,Low,Medium
Frosted Glass,dry,2.55,0.48,84.0,33,6,B,17,147,3,No,Low,Medium
IGU Low-E,hot,1.14,0.3,47.1,33,22,A2,20,296,2,Yes,Low,High
Heat Strengthened Glass,dry,2.75,0.51,81.7,34,8,C,17,94,3,Yes,Medium,Medium
Clear Float Glass,hot,4.64,0.66,71.9,32,6,A1,32,96,2,No,Low,High
Acoustic Laminated,cold,2.4,0.35,65.9,39,14,A1,21,182,3,No,High,Medium
IGU Low-E,hot,1.72,0.2,42.6,26,26,A1,17,238,2,Yes,Low,High
DGU Low-E,cold,1.17,0.2,45.4,27,26,C,26,196,2,Yes,Low,Medium
Clear Float Glass,coastal,3.96,0.56,86.8,35,6,B,18,90,1,Yes,Low,High
Solar Control Glass,coastal,4.54,0.54,67.8,25,10,A1,24,96,2,Yes,Low,High
Acoustic Laminated,dry,2.06,0.45,65.4,38,12,A2,29,248,2,No,High,Medium
DGU Clear,cold,1.3,0.33,51.6,25,22,C,34,385,1,Yes,Low,Medium
Laminated Low-E,moderate,1.35,0.24,68.5,44,10,A1,29,175,3,Yes,High,Medium
Acoustic Laminated,hot,2.52,0.34,77.4,41,10,C,22,274,3,Yes,High,High
Laminated Low-E,hot,1.39,0.33,64.0,39,10,A2,33,278,2,Yes,High,High
Triple Glazed Low-E,dry,1.34,0.2,48.1,28,40,B,19,232,3,Yes,Low,Medium
Solar Control Glass,moderate,3.85,0.61,67.7,25,8,A2,35,118,3,No,Low,Medium
Tinted Glass,dry,3.0,0.52,34.7,30,6,C,31,106,2,No,Low,Medium
Laminated Clear,coastal,2.23,0.34,65.4,41,12,A2,32,199,2,No,High,High
Laminated Low-E,moderate,1.01,0.34,43.5,37,12,C,16,331,3,Yes,High,Medium
Tinted Glass,coastal,3.61,0.4,26.1,27,8,C,22,167,2,No,Low,High
Laminated Low-E,cold,1.52,0.32,46.2,42,14,B,17,170,3,Yes,High,Medium
Laminated Clear,moderate,1.61,0.33,78.0,45,10,A1,17,214,1,No,High,Medium
Frosted Glass,dry,4.68,0.6,78.0,30,6,B,15,141,1,Yes,Low,Medium
Spectrally Selective Glass,moderate,4.16,0.49,87.4,28,10,A2,27,95,1,No,Low,Medium
Solar Control Glass,cold,3.55,0.55,75.6,33,8,B,24,128,2,No,Low,Medium
Reflective Glass,dry,3.07,0.2,21.1,26,6,C,25,239,1,Yes,Low,Medium
Reflective Glass,cold,3.12,0.25,13.7,34,6,A2,19,131,1,Yes,Low,Medium
Tempered Low-E,dry,1.31,0.24,50.7,31,10,B,19,298,1,Yes,Medium,Medium
Reflective Glass,moderate,4.08,0.22,18.5,32,6,B,23,182,2,Yes,Low,Medium
Laminated Clear,coastal,2.17,0.47,78.7,37,12,A2,32,201,2,No,High,High
DGU Clear,dry,1.39,0.29,35.9,26,20,A1,15,334,2,Yes,Low,Medium
DGU Clear,moderate,1.01,0.37,36.5,25,20,A2,31,381,2,Yes,Low,Medium
Reflective Glass,hot,3.74,0.25,15.0,35,8,C,15,243,1,Yes,Low,High
Solar Control Glass,dry,4.43,0.48,62.3,33,8,B,32,81,2,Yes,Low,Medium
DGU Low-E,dry,1.58,0.27,60.7,26,26,A1,31,195,1,Yes,Low,Medium
Laminated Low-E,moderate,1.35,0.24,64.6,39,14,B,23,284,2,Yes,High,Medium
IGU Low-E,cold,1.64,0.3,48.2,34,26,A2,22,267,2,Yes,Low,Medium
Acoustic Laminated,hot,2.31,0.39,61.8,36,14,C,27,289,2,Yes,High,High
Solar Control Glass,coastal,4.79,0.48,88.5,27,6,A1,30,161,2,Yes,Low,High
Acoustic Laminated,cold,2.14,0.35,70.8,43,14,A1,22,289,1,Yes,High,Medium
Spectrally Selective Glass,dry,4.68,0.63,84.2,26,8,B,32,114,3,Yes,Low,Medium
Acoustic Laminated,hot,2.39,0.47,77.0,35,10,A2,33,298,1,No,High,High
Frosted Glass,coastal,3.12,0.57,66.6,34,6,A2,33,118,2,Yes,Low,High
Acoustic Laminated,dry,2.79,0.54,60.8,36,12,B,16,229,1,Yes,High,Medium
Tinted Glass,moderate,3.79,0.54,18.6,34,5,C,25,143,1,No,Low,Medium
Acoustic Laminated,cold,2.28,0.53,60.7,40,12,C,28,242,1,Yes,High,Medium
Acoustic Laminated,dry,2.44,0.37,78.5,44,14,B,22,228,3,Yes,High,Medium
IGU Low-E,hot,1.78,0.34,54.2,31,24,A2,27,189,2,Yes,Low,High
Reflective Glass,hot,4.29,0.28,14.8,29,5,C,26,121,2,Yes,Low,High
IGU Low-E,moderate,1.66,0.21,57.9,31,20,C,32,197,3,Yes,Low,Medium
Solar Control Glass,coastal,3.08,0.48,62.3,30,6,A1,34,83,3,Yes,Low,High
Frosted Glass,cold,4.24,0.53,81.7,31,8,C,17,81,3,No,Low,Medium
Spectrally Selective Glass,dry,2.66,0.53,76.2,35,6,C,20,153,1,Yes,Low,Medium
Tempered Low-E,cold,1.63,0.25,58.8,27,8,A1,20,276,2,Yes,Medium,Medium
Tempered Low-E,coastal,1.71,0.29,47.0,26,8,B,23,273,1,Yes,Medium,High
Laminated Clear,coastal,1.63,0.52,60.4,42,14,A1,19,258,2,Yes,High,High
DGU Low-E,coastal,1.7,0.28,68.2,31,24,B,29,308,2,Yes,Low,High
Tinted Glass,dry,3.92,0.55,22.0,30,5,A2,30,138,2,No,Low,Medium
DGU Clear,coastal,1.41,0.33,49.4,34,24,A2,25,274,2,No,Low,High
Tempered Low-E,coastal,1.5,0.33,69.5,34,8,A2,33,179,3,Yes,Medium,High
DGU Clear,dry,1.41,0.33,47.6,28,20,C,24,386,3,No,Low,Medium
IGU Low-E,coastal,1.59,0.24,43.3,35,26,B,22,185,2,Yes,Low,High
Acoustic Laminated,moderate,2.03,0.37,65.9,36,14,C,34,234,2,No,High,Medium
Triple Glazed Low-E,coastal,1.19,0.21,40.5,31,40,A1,26,279,3,Yes,Low,High
Spectrally Selective Glass,dry,4.97,0.56,71.5,26,10,A2,26,161,1,Yes,Low,Medium
Acoustic Laminated,dry,2.42,0.35,79.0,40,10,C,18,252,1,No,High,Medium
IGU Low-E,cold,1.63,0.21,52.5,33,22,A2,29,280,2,Yes,Low,Medium
Tinted Glass,coastal,4.03,0.54,24.3,33,8,A2,26,175,1,No,Low,High
Clear Float Glass,hot,4.03,0.49,89.7,26,6,A2,26,133,2,Yes,Low,High
Reflective Glass,coastal,3.35,0.29,19.7,30,5,C,18,243,2,Yes,Low,High
Laminated Clear,coastal,2.33,0.43,64.6,35,12,A1,15,188,2,No,High,High
Acoustic Laminated,hot,1.81,0.36,63.7,38,14,A2,32,282,1,Yes,High,High
Reflective Glass,dry,4.17,0.22,10.9,28,6,C,35,238,1,Yes,Low,Medium
DGU Clear,coastal,1.58,0.43,62.8,32,26,C,27,207,1,Yes,Low,High
Laminated Clear,moderate,2.79,0.34,67.9,44,10,A1,32,215,1,Yes,High,Medium
Reflective Glass,cold,4.14,0.26,12.3,26,5,B,30,237,3,Yes,Low,Medium
Acoustic Laminated,cold,2.58,0.36,64.5,44,14,A1,26,229,2,No,High,Medium
Heat Strengthened Glass,coastal,3.84,0.6,77.4,34,10,A1,19,102,2,No,Medium,High
IGU Low-E,moderate,1.07,0.33,48.0,27,24,B,19,179,3,Yes,Low,Medium
Tinted Glass,coastal,2.98,0.53,34.1,34,8,C,28,117,1,No,Low,High
Clear Float Glass,dry,4.66,0.65,79.7,33,8,A2,30,162,2,Yes,Low,Medium
DGU Clear,moderate,1.24,0.27,47.3,30,24,A1,30,315,1,Yes,Low,Medium
Laminated Low-E,coastal,1.3,0.24,61.7,45,14,C,28,279,3,Yes,High,High
Clear Float Glass,coastal,3.74,0.47,66.6,27,8,A1,33,136,1,No,Low,High
Frosted Glass,moderate,4.21,0.47,85.5,28,8,B,20,84,2,No,Low,Medium
Triple Glazed Low-E,coastal,1.4,0.27,57.8,26,40,A1,23,280,3,Yes,Low,High
Heat Strengthened Glass,cold,4.56,0.54,80.3,32,10,A2,28,176,1,Yes,Medium,Medium
Laminated Clear,moderate,2.28,0.37,77.6,42,12,B,26,291,1,Yes,High,Medium
Clear Float Glass,hot,4.49,0.61,85.5,34,5,C,20,106,3,No,Low,High
DGU Clear,moderate,1.49,0.39,60.1,33,22,B,34,215,3,No,Low,Medium
DGU Clear,cold,1.36,0.39,53.6,33,24,A1,19,274,2,No,Low,Medium
Spectrally Selective Glass,hot,4.38,0.49,86.4,27,8,A2,19,163,3,Yes,Low,High
Reflective Glass,moderate,4.31,0.18,22.4,32,8,A2,33,220,3,Yes,Low,Medium
Tempered Low-E,coastal,1.1,0.25,62.3,26,8,A1,27,265,3,Yes,Medium,High
Laminated Clear,cold,1.79,0.5,76.6,42,14,C,25,299,3,No,High,Medium
DGU Low-E,hot,1.41,0.2,48.6,35,26,B,17,312,3,Yes,Low,High
Tinted Glass,moderate,3.66,0.55,27.6,32,6,B,25,127,2,No,Low,Medium
Reflective Glass,dry,3.39,0.26,18.1,34,8,C,25,153,3,Yes,Low,Medium
Frosted Glass,hot,4.45,0.48,82.8,25,6,A1,20,92,2,No,Low,High
Clear Float Glass,hot,3.85,0.69,70.3,35,6,B,20,105,2,Yes,Low,High
IGU Low-E,cold,1.51,0.34,43.1,30,24,A2,16,171,2,Yes,Low,Medium
Acoustic Laminated,cold,2.72,0.47,61.4,41,14,A1,18,269,1,Yes,High,Medium
Laminated Low-E,coastal,1.24,0.31,42.0,44,10,A2,31,183,3,Yes,High,High
Clear Float Glass,hot,3.96,0.54,78.6,26,5,C,19,169,2,No,Low,High
IGU Low-E,moderate,1.04,0.33,69.2,26,26,A1,25,172,2,Yes,Low,Medium
Spectrally Selective Glass,cold,4.92,0.64,63.9,35,6,A2,17,128,3,Yes,Low,Medium
Triple Glazed Low-E,hot,1.61,0.2,40.7,27,40,C,26,316,3,Yes,Low,High
Laminated Low-E,moderate,1.26,0.27,63.1,45,12,C,21,307,1,Yes,High,Medium
Spectrally Selective Glass,hot,4.21,0.56,68.2,34,6,C,26,176,2,Yes,Low,High
Reflective Glass,moderate,4.5,0.23,16.8,35,5,A1,22,190,3,Yes,Low,Medium
Triple Glazed Low-E,dry,1.13,0.32,60.8,29,40,A1,24,305,1,Yes,Low,Medium
Solar Control Glass,dry,3.05,0.47,80.4,29,10,A1,22,104,2,No,Low,Medium
Tinted Glass,hot,3.72,0.4,34.0,35,5,A1,31,163,1,No,Low,High
Reflective Glass,cold,3.23,0.23,24.2,34,5,C,26,219,3,Yes,Low,Medium
Acoustic Laminated,moderate,2.1,0.46,68.0,35,12,A1,15,278,2,Yes,High,Medium
Laminated Low-E,hot,1.22,0.35,52.3,43,10,B,35,251,3,Yes,High,High
Solar Control Glass,coastal,4.74,0.51,66.4,26,8,A2,23,169,1,No,Low,High
Tempered Low-E,hot,1.02,0.3,51.1,27,10,B,27,202,3,Yes,Medium,High
Acoustic Laminated,hot,2.64,0.42,79.4,38,12,A1,22,269,1,No,High,High
Spectrally Selective Glass,coastal,2.96,0.67,83.3,29,6,A2,18,138,1,Yes,Low,High
Laminated Clear,moderate,2.53,0.51,75.2,42,14,B,31,181,3,Yes,High,Medium
Frosted Glass,cold,4.07,0.48,61.0,29,6,A1,15,127,2,Yes,Low,Medium
Frosted Glass,coastal,4.8,0.6,83.9,29,8,A1,30,147,2,Yes,Low,High
Solar Control Glass,cold,3.7,0.48,63.8,30,6,A2,23,143,1,Yes,Low,Medium
Spectrally Selective Glass,dry,4.21,0.56,66.0,28,10,A1,16,172,1,Yes,Low,Medium
Laminated Low-E,hot,1.39,0.21,57.5,41,12,A2,20,243,1,Yes,High,High
Solar Control Glass,coastal,3.17,0.65,69.3,31,6,B,23,121,1,Yes,Low,High
Triple Glazed Low-E,cold,1.36,0.2,42.2,35,32,A1,20,278,1,Yes,Low,Medium
Frosted Glass,dry,3.48,0.57,78.0,32,6,B,24,131,2,Yes,Low,Medium
IGU Low-E,dry,1.23,0.3,65.8,30,26,A2,24,152,3,Yes,Low,Medium
Frosted Glass,cold,4.45,0.46,74.4,34,6,C,21,139,3,No,Low,Medium
Spectrally Selective Glass,dry,2.76,0.51,89.6,31,6,A1,22,99,3,Yes,Low,Medium
Reflective Glass,hot,3.21,0.24,19.3,35,6,C,24,120,1,Yes,Low,High
Laminated Low-E,dry,1.56,0.28,40.3,42,10,A1,19,257,3,Yes,High,Medium
Tempered Low-E,hot,1.26,0.28,42.6,33,6,C,26,209,2,Yes,Medium,High
Laminated Clear,hot,2.02,0.31,61.6,45,14,C,17,192,3,Yes,High,High
Triple Glazed Low-E,hot,1.32,0.22,57.0,27,36,A2,24,319,2,Yes,Low,High
Heat Strengthened Glass,cold,4.22,0.65,66.0,30,8,C,23,169,1,No,Medium,Medium
IGU Low-E,moderate,1.13,0.22,59.1,34,22,A1,19,349,1,Yes,Low,Medium
DGU Clear,coastal,1.37,0.26,63.1,26,26,B,21,280,2,No,Low,High
Tempered Low-E,coastal,1.04,0.28,61.3,26,8,A2,24,180,3,Yes,Medium,High
Laminated Clear,dry,2.65,0.48,76.0,37,10,A1,22,207,2,No,High,Medium
Tinted Glass,dry,3.28,0.51,16.6,29,5,B,20,186,1,No,Low,Medium
Tinted Glass,coastal,4.05,0.46,31.3,33,8,A2,18,195,2,No,Low,High
IGU Low-E,moderate,1.36,0.3,55.8,25,20,A2,19,153,1,Yes,Low,Medium
Heat Strengthened Glass,coastal,4.33,0.47,61.8,34,8,B,17,167,1,Yes,Medium,High
IGU Low-E,moderate,1.2,0.22,66.2,26,26,B,18,182,1,Yes,Low,Medium
Clear Float Glass,hot,3.05,0.69,70.1,31,5,C,15,153,2,No,Low,High
Acoustic Laminated,coastal,1.82,0.5,73.2,37,10,B,23,225,2,Yes,High,High
Spectrally Selective Glass,moderate,3.75,0.59,81.6,35,6,B,30,158,2,Yes,Low,Medium
Spectrally Selective Glass,dry,3.07,0.7,89.2,29,8,C,19,87,2,Yes,Low,Medium
Laminated Low-E,dry,1.52,0.23,60.4,43,10,A1,27,311,3,Yes,High,Medium
Reflective Glass,coastal,3.11,0.18,13.9,30,8,B,27,244,2,Yes,Low,High
DGU Clear,hot,1.17,0.42,56.8,25,24,B,16,352,2,Yes,Low,High
Solar Control Glass,cold,4.36,0.56,70.4,26,10,A2,22,109,2,Yes,Low,Medium
Solar Control Glass,hot,3.43,0.7,61.2,30,6,A2,20,153,1,No,Low,High
Triple Glazed Low-E,cold,1.69,0.29,53.2,30,40,A1,26,328,3,Yes,Low,Medium
Triple Glazed Low-E,moderate,1.58,0.27,66.2,32,40,B,20,198,2,Yes,Low,Medium
DGU Low-E,hot,1.72,0.26,48.3,34,20,A2,15,209,3,Yes,Low,High
Clear Float Glass,hot,3.98,0.68,66.3,27,6,B,20,158,2,Yes,Low,High
DGU Low-E,hot,1.5,0.29,62.0,27,22,A1,31,300,2,Yes,Low,High
IGU Low-E,cold,1.11,0.31,67.3,26,26,B,24,300,2,Yes,Low,Medium
DGU Clear,moderate,0.94,0.3,64.1,35,26,B,20,363,3,No,Low,Medium
Solar Control Glass,dry,2.95,0.66,74.8,31,8,B,24,108,1,Yes,Low,Medium
DGU Clear,hot,1.0,0.42,48.4,27,26,B,34,397,1,Yes,Low,High
Acoustic Laminated,dry,2.22,0.39,71.9,37,10,B,17,299,1,No,High,Medium
Reflective Glass,cold,3.25,0.23,24.5,35,5,B,29,142,1,Yes,Low,Medium
Tempered Low-E,moderate,1.21,0.3,49.8,26,6,B,23,327,1,Yes,Medium,Medium
Laminated Clear,hot,2.53,0.33,79.4,41,10,A2,28,229,2,No,High,High
Spectrally Selective Glass,coastal,3.63,0.51,62.2,26,8,C,33,149,3,No,Low,High
Frosted Glass,moderate,2.92,0.58,70.1,25,6,B,15,137,2,Yes,Low,Medium
Tempered Low-E,hot,1.66,0.26,47.5,27,6,C,20,237,3,Yes,Medium,High
IGU Low-E,dry,1.49,0.31,45.0,34,20,C,15,236,2,Yes,Low,Medium
Acoustic Laminated,moderate,1.8,0.31,74.7,37,14,A1,18,293,2,No,High,Medium
Laminated Low-E,moderate,1.53,0.27,65.3,43,12,B,24,328,2,Yes,High,Medium
Laminated Low-E,hot,1.64,0.29,66.0,44,10,C,19,250,1,Yes,High,High
Reflective Glass,hot,3.31,0.19,14.0,29,6,C,21,142,1,Yes,Low,High
DGU Low-E,moderate,1.05,0.28,68.1,29,22,A1,30,313,1,Yes,Low,Medium
Tempered Low-E,coastal,1.03,0.22,53.6,35,8,B,17,275,3,Yes,Medium,High
Solar Control Glass,coastal,4.83,0.53,75.2,30,6,A2,29,127,1,No,Low,High
Tempered Low-E,coastal,1.03,0.22,69.6,28,8,B,33,217,1,Yes,Medium,High
DGU Clear,hot,1.57,0.25,63.6,33,20,C,33,371,1,No,Low,High
Solar Control Glass,hot,4.1,0.67,73.6,33,8,C,33,146,1,No,Low,High
Clear Float Glass,cold,3.79,0.57,80.0,33,5,A2,18,130,2,Yes,Low,Medium
DGU Clear,moderate,0.91,0.26,44.2,25,22,C,17,249,3,Yes,Low,Medium
Tinted Glass,moderate,3.79,0.39,28.5,34,8,B,25,118,3,No,Low,Medium
Spectrally Selective Glass,hot,4.92,0.47,80.2,33,6,B,23,129,3,No,Low,High
Clear Float Glass,hot,3.61,0.67,65.3,26,8,C,19,159,1,No,Low,High
Triple Glazed Low-E,dry,1.55,0.33,68.3,26,40,A1,33,344,1,Yes,Low,Medium
Frosted Glass,cold,4.21,0.57,78.5,31,8,C,33,132,3,No,Low,Medium
Clear Float Glass,hot,4.67,0.59,60.9,27,5,C,16,115,2,No,Low,High
Spectrally Selective Glass,cold,4.83,0.62,80.3,32,10,B,26,110,1,Yes,Low,Medium
Reflective Glass,cold,3.32,0.26,15.9,32,6,A1,22,191,1,Yes,Low,Medium
Tempered Low-E,coastal,1.52,0.22,59.7,31,8,A1,21,218,2,Yes,Medium,High
Laminated Low-E,coastal,1.8,0.21,69.3,43,14,B,16,274,3,Yes,High,High
Frosted Glass,moderate,3.52,0.67,83.5,27,6,A1,20,119,1,No,Low,Medium
Spectrally Selective Glass,moderate,3.92,0.63,86.4,32,6,A1,26,111,3,Yes,Low,Medium
Laminated Low-E,cold,1.32,0.25,60.0,43,12,C,35,268,1,Yes,High,Medium
Acoustic Laminated,hot,2.57,0.49,76.0,44,10,C,20,227,2,No,High,High
Triple Glazed Low-E,dry,1.35,0.32,43.6,27,36,B,17,238,2,Yes,Low,Medium
DGU Low-E,coastal,1.44,0.2,49.7,34,20,A2,22,191,3,Yes,Low,High
Laminated Low-E,moderate,1.29,0.26,60.9,41,12,A1,15,316,2,Yes,High,Medium
Spectrally Selective Glass,moderate,3.47,0.56,67.1,28,10,B,34,102,2,Yes,Low,Medium
Laminated Clear,cold,2.05,0.36,61.5,40,12,C,23,294,1,No,High,Medium
Clear Float Glass,cold,4.01,0.62,78.6,34,8,A1,15,146,3,No,Low,Medium
Acoustic Laminated,cold,2.16,0.39,77.3,39,14,A1,30,262,1,No,High,Medium
